Date,Cases,Tests,ServiceID
4/11/2020,143,4382,MMSD
4/12/2020,145,4494,MMSD
4/13/2020,152,4587,MMSD
4/14/2020,157,4669,MMSD
4/15/2020,158,4762,MMSD
4/16/2020,158,4907,MMSD
4/17/2020,159,5031,MMSD
4/18/2020,161,5173,MMSD
4/19/2020,161,5326,MMSD
4/20/2020,167,5458,MMSD
4/21/2020,189,5557,MMSD
4/22/2020,193,5730,MMSD
4/23/2020,198,6009,MMSD
4/24/2020,201,6293,MMSD
4/25/2020,205,6521,MMSD
4/26/2020,210,6810,MMSD
4/27/2020,212,7048,MMSD
4/28/2020,222,7533,MMSD
4/29/2020,226,8131,MMSD
4/30/2020,231,8330,MMSD
5/1/2020,232,8629,MMSD
5/2/2020,233,8795,MMSD
5/3/2020,235,9007,MMSD
5/4/2020,242,9238,MMSD
5/5/2020,243,9503,MMSD
5/6/2020,250,9759,MMSD
5/7/2020,251,10122,MMSD
5/8/2020,252,10354,MMSD
5/9/2020,255,10609,MMSD
5/10/2020,262,10846,MMSD
5/11/2020,274,11074,MMSD
5/12/2020,276,11376,MMSD
5/13/2020,279,11646,MMSD
5/14/2020,286,11987,MMSD
5/15/2020,294,12865,MMSD
5/16/2020,308,13264,MMSD
5/17/2020,320,13697,MMSD
5/18/2020,321,13906,MMSD
5/19/2020,323,14189,MMSD
5/20/2020,342,14695,MMSD
5/21/2020,351,15761,MMSD
5/22/2020,361,16740,MMSD
5/23/2020,372,17855,MMSD
5/24/2020,372,18134,MMSD
5/25/2020,377,18683,MMSD
5/26/2020,392,19616,MMSD
5/27/2020,418,20303,MMSD
5/28/2020,433,21055,MMSD
5/29/2020,456,21983,MMSD
5/30/2020,468,22510,MMSD
5/31/2020,479,23077,MMSD
6/1/2020,480,23228,MMSD
6/2/2020,493,23731,MMSD
6/3/2020,507,24571,MMSD
6/4/2020,516,25795,MMSD
6/5/2020,524,26772,MMSD
6/6/2020,536,27447,MMSD
6/7/2020,559,27824,MMSD
6/8/2020,569,28503,MMSD
6/9/2020,578,29646,MMSD
6/10/2020,589,30739,MMSD
6/11/2020,604,31123,MMSD
6/12/2020,629,32403,MMSD
6/13/2020,639,33259,MMSD
6/14/2020,654,33689,MMSD
6/15/2020,665,33971,MMSD
6/16/2020,675,35502,MMSD
6/17/2020,692,36235,MMSD
6/18/2020,705,37079,MMSD
6/19/2020,720,38019,MMSD
6/20/2020,740,38648,MMSD
6/21/2020,767,38831,MMSD
6/22/2020,790,39313,MMSD
6/23/2020,833,40653,MMSD
6/24/2020,906,41552,MMSD
6/25/2020,975,42796,MMSD
6/26/2020,1083,43825,MMSD
6/27/2020,1161,44453,MMSD
6/28/2020,1240,44534,MMSD
6/29/2020,1314,44692,MMSD
6/30/2020,1446,45800,MMSD
7/1/2020,1530,46736,MMSD
7/2/2020,1617,49456,MMSD
7/3/2020,1718,51064,MMSD
7/4/2020,1835,51748,MMSD
7/5/2020,1900,51821,MMSD
7/6/2020,1974,52256,MMSD
7/7/2020,2022,54110,MMSD
7/8/2020,2078,55684,MMSD
7/9/2020,2136,58042,MMSD
7/10/2020,2232,59947,MMSD
7/11/2020,2331,60795,MMSD
7/12/2020,2405,61232,MMSD
7/13/2020,2443,61524,MMSD
7/14/2020,2521,63408,MMSD
7/15/2020,2594,64798,MMSD
7/16/2020,2638,66509,MMSD
7/17/2020,2692,68174,MMSD
7/18/2020,2742,68718,MMSD
7/19/2020,2778,69284,MMSD
7/20/2020,2819,69625,MMSD
7/21/2020,2847,70850,MMSD
7/22/2020,2892,72501,MMSD
7/23/2020,2919,73865,MMSD
7/24/2020,2965,76046,MMSD
7/25/2020,3010,77528,MMSD
7/26/2020,3041,78252,MMSD
7/27/2020,3076,78678,MMSD
7/28/2020,3109,80625,MMSD
7/29/2020,3148,82443,MMSD
7/30/2020,3180,84592,MMSD
7/31/2020,3232,85859,MMSD
8/1/2020,3251,87202,MMSD
8/2/2020,3312,88253,MMSD
8/3/2020,3331,88866,MMSD
8/4/2020,3355,90862,MMSD
8/5/2020,3419,93097,MMSD
8/6/2020,3455,94718,MMSD
8/7/2020,3508,95880,MMSD
8/8/2020,3545,96700,MMSD
8/9/2020,3578,97547,MMSD
